trip_id,personal_mae,personal_rmse,personal_mbe,personal_stddev,personal_count,global_mae,global_rmse,global_mbe,global_stddev,global_count,segment_count,avg_gt_soc_delta,mae_improvement
14e4d973-40c6-5722-9d34-4dc36c5e015e,1.9245,2.0854,-0.1106,2.4046,4.0,1.471,1.8139,-0.833,1.8606,4.0,4.0,4.475,-0.4534
1648301a-f06b-53f4-b70b-9cb860bbe4c5,0.8134,0.9045,-0.1627,1.0274,4.0,0.6822,0.7426,0.2192,0.8192,4.0,4.0,3.375,-0.1312
16999811-1f74-568e-9da0-74e9cccf5dbf,0.7171,1.0101,0.0688,1.0689,9.0,0.8664,1.1015,-0.3376,1.1121,9.0,9.0,1.7222,0.1493
16d29d3d-cff5-507f-b9f1-1a54c1edefb3,0.533,0.5606,-0.0571,0.6439,4.0,0.3467,0.4173,-0.203,0.421,4.0,4.0,1.275,-0.1863
16f3360b-481f-5728-8da0-f014246247e7,0.5391,0.6768,0.0539,0.779,4.0,0.669,0.7786,0.6049,0.566,4.0,4.0,2.775,0.1299
171153eb-1007-5e5d-a9b4-49a3663805d3,1.1483,1.4062,-0.049,1.4678,12.0,1.9495,3.0277,-1.6412,2.6573,12.0,12.0,2.6333,0.8012
181d2781-22cd-5eeb-848f-94aba60d8fe0,0.5007,0.5689,0.0158,0.6566,4.0,0.4865,0.5462,-0.3077,0.5211,4.0,4.0,4.075,-0.0142
18a45b9c-4ca5-550d-a6e6-b59aa4cc149f,0.147,0.1774,-0.0028,0.2048,4.0,0.208,0.2449,0.208,0.1493,4.0,4.0,2.7,0.061
1911a918-8f3c-54b2-86a4-d6cd99bc2a63,0.6325,0.7635,0.2304,0.8405,4.0,0.6674,0.7039,-0.3416,0.7106,4.0,4.0,1.4,0.0349
199d4f29-2876-55f1-a0c7-a3b6334d7523,0.4695,0.5513,-0.0238,0.6033,6.0,0.576,0.6468,-0.1823,0.6798,6.0,6.0,2.9833,0.1065
1a27780d-8d6f-5e38-963f-537d2b9b1e05,0.8292,1.0341,0.0164,1.0966,9.0,0.8043,0.9494,-0.257,0.9694,9.0,9.0,3.7667,-0.025
1a52a03a-ead7-5331-8033-712e83eb5bed,0.3377,0.4452,0.0037,0.514,4.0,0.3375,0.4276,0.2392,0.4093,4.0,4.0,3.875,-0.0003
1a84183b-ae30-5721-a6fa-df1d570eea85,1.8323,2.3739,0.1644,2.7346,4.0,1.5156,1.8001,-0.0582,2.0775,4.0,4.0,4.525,-0.3166
1a9e8eb1-e8df-5a06-b63d-ef7403fb3d06,0.4032,0.6199,-0.0171,0.6532,10.0,0.4812,0.6621,-0.1434,0.6814,10.0,10.0,1.5,0.078
1c03a734-95c1-5e95-887b-17e6afe5ff4b,0.3687,0.4715,0.0618,0.5397,4.0,0.707,0.7967,0.707,0.4239,4.0,4.0,3.3,0.3383
1d3d179b-32b7-5cc5-b9d7-b63642db3096,0.7816,1.0604,0.0136,1.112,11.0,0.8164,1.0565,-0.18,1.0918,11.0,11.0,5.1818,0.0348
1f155efb-0f19-572f-a494-c44676c880b1,0.8496,1.238,-0.0229,1.3559,6.0,0.8514,1.1628,-0.4059,1.1936,6.0,6.0,3.3167,0.0018
1f3cf974-c69e-57db-8a24-697009c06ba1,1.9003,2.404,0.1159,2.7727,4.0,1.3192,1.8505,0.3669,2.0943,4.0,4.0,5.875,-0.5811
1f729db0-e395-5b4a-9510-c751da4f4039,0.7185,0.7879,-0.0986,0.8739,5.0,0.6795,0.7279,-0.2447,0.7665,5.0,5.0,1.7,-0.039
220fa9d6-2e3a-5d03-9121-de3e59b6899c,0.3527,0.4163,-0.0074,0.4496,7.0,0.3244,0.3869,-0.1482,0.3861,7.0,7.0,2.2,-0.0283
22260039-e743-57e9-8f89-0b59cc4d3273,0.4641,0.5227,0.0969,0.5931,4.0,0.4658,0.6138,-0.3579,0.5758,4.0,4.0,1.5,0.0017
22f984e9-7ffa-544d-8f49-d08e3eb9c802,0.543,0.8315,-0.0656,0.8861,8.0,1.0192,1.5105,-0.9625,1.2445,8.0,8.0,2.025,0.4762
23494ad7-e994-5b64-97af-584e0963e368,0.5545,0.5824,0.0161,0.6722,4.0,0.6345,0.7564,0.6345,0.4754,4.0,4.0,3.425,0.08
235fc9db-c3c4-5bd2-9015-5a38554d1680,1.1568,1.2478,0.0213,1.3338,8.0,1.015,1.1452,0.4386,1.1309,8.0,8.0,6.175,-0.1418
23c21eec-c5f4-5e9c-acb0-b48ac63105e0,0.721,1.0328,0.0945,1.0995,8.0,0.8271,0.9895,-0.2458,1.0247,8.0,8.0,2.6375,0.1061
23db58d2-eaa6-5207-9eb0-bc3ea1c82133,0.263,0.3435,0.0247,0.3956,4.0,0.536,0.5908,0.536,0.2871,4.0,4.0,2.575,0.273
24235f02-89b7-59bd-b725-16217bd1f4aa,0.7712,0.9641,-0.0148,1.1131,4.0,0.5569,0.7706,-0.3064,0.8165,4.0,4.0,2.325,-0.2143
26662e1f-80b8-573f-84ed-2f160f46c65b,0.2618,0.3122,-0.0009,0.349,5.0,0.2285,0.2597,-0.0806,0.276,5.0,5.0,0.86,-0.0333
269e486b-4414-566a-aedb-fc9b7993212c,1.3153,1.5181,0.0232,1.7527,4.0,1.2649,1.6759,-1.2649,1.2694,4.0,4.0,4.875,-0.0504
270dd903-d974-5197-917d-8a72fa6f3dc0,0.7104,0.7583,0.0316,0.8748,4.0,0.7698,0.9365,-0.7698,0.6159,4.0,4.0,3.075,0.0594
272e236f-7cc3-5558-90e9-e82a0ab789c9,0.6201,0.7963,-0.0682,0.8363,10.0,0.8059,1.0903,0.3215,1.0981,10.0,10.0,5.59,0.1859
27b5f14a-c764-53e6-a475-0a3e7af768e1,0.1461,0.2181,0.0231,0.2376,6.0,0.3415,0.3675,-0.3152,0.2071,6.0,6.0,0.9333,0.1954
27e7c364-d871-52a2-8fcf-158ff558745c,0.5598,0.718,0.0932,0.822,4.0,0.5056,0.6854,0.3554,0.6768,4.0,4.0,1.6,-0.0542
28ef8eeb-a793-5c22-a56f-539e7138de16,0.7741,1.023,-0.1083,1.1746,4.0,1.3672,1.6771,-1.3672,1.1215,4.0,4.0,2.275,0.5932
2a3f67fa-af3f-5c00-a08c-acd4ade1aca7,0.6218,0.8676,0.037,0.9495,6.0,0.7688,0.8511,-0.394,0.8264,6.0,6.0,5.0167,0.147
2a4402cd-3812-5592-9a5c-2dbcf75f431d,1.0999,1.2924,-0.4158,1.413,4.0,1.2038,1.267,0.1026,1.4582,4.0,4.0,4.925,0.1039
2a5a447b-3aaa-5bf9-9444-f38f4ad82015,2.0331,2.5248,0.1109,2.9126,4.0,1.606,1.9288,0.3513,2.1899,4.0,4.0,6.15,-0.4271
2a840b1d-424b-5ad5-8a4c-af2ff19e1b27,0.3318,0.4009,-0.0598,0.4577,4.0,0.8293,0.8797,-0.8293,0.339,4.0,4.0,1.3,0.4975
2aa07f92-f0f5-5e32-94b2-c2442baf8c01,1.4472,2.2696,-0.1865,2.3315,17.0,1.7801,2.6839,-0.4086,2.7343,17.0,17.0,3.5412,0.3329
2b09d670-0289-5584-a467-5358535a9a1c,1.7285,2.1232,0.1996,2.4408,4.0,1.3373,1.8791,0.5433,2.0772,4.0,4.0,5.125,-0.3912
2b5fbd78-6a68-5794-8c5c-ee1e69e274dd,0.9347,1.0627,-0.0062,1.1881,5.0,1.0273,1.3462,-0.5864,1.3548,5.0,5.0,1.56,0.0926
2d465eb6-67fc-5c56-95c1-d0d4b838b018,0.4524,0.5106,0.0207,0.5704,5.0,0.3622,0.4058,-0.0487,0.4505,5.0,5.0,2.6,-0.0901
2d498557-ce40-51ac-bb85-608154993a4b,0.6348,0.6776,-0.0047,0.7824,4.0,0.5499,0.6206,0.3776,0.5687,4.0,4.0,4.375,-0.0849
2d8165c4-a4d5-51de-b623-cff79041078b,1.2506,1.656,-0.1089,1.9081,4.0,1.0481,1.2604,0.0601,1.4538,4.0,4.0,3.75,-0.2025
2e00ba4d-b95e-51d2-b73e-948390c4868b,2.3976,3.0768,-0.033,3.5526,4.0,1.7863,2.3971,-0.6853,2.6524,4.0,4.0,5.0,-0.6112
2e085040-dc06-5d57-ad69-b246d9132a9d,0.0873,0.0972,0.0149,0.1074,5.0,0.3356,0.3609,-0.3356,0.1483,5.0,5.0,0.96,0.2483
2e1e4569-2692-5ffe-80ba-cf039f2908b8,1.7179,1.9764,-0.4584,2.1494,5.0,1.7366,1.8335,0.5503,1.9553,5.0,5.0,4.74,0.0187
2e3b48db-4c68-5e62-b741-0967c7da0591,1.8981,2.132,-0.1706,2.4539,4.0,1.7406,1.7878,-0.8134,1.8384,4.0,4.0,2.175,-0.1576
2efe4fb5-21f8-5ae7-aeef-95414f620f5d,0.4468,0.5844,-0.0699,0.6267,7.0,0.625,0.7335,0.5161,0.563,7.0,7.0,4.0143,0.1782
2f498420-4e31-58d6-9f6a-98352c66ef1c,1.0195,1.0827,0.1086,1.2439,4.0,0.7647,0.8372,-0.1381,0.9534,4.0,4.0,3.4,-0.2549
2f8cfd30-02c3-56ba-a970-87c223361221,1.2033,1.6622,-0.2122,1.7486,9.0,1.2521,1.6638,-0.5633,1.6605,9.0,9.0,5.0778,0.0488
30055c8c-838f-5ed2-95d4-8061a24905a4,0.9105,1.0828,-0.0638,1.2481,4.0,0.8387,1.0456,-0.647,0.9484,4.0,4.0,1.05,-0.0718
30806813-b980-5027-b92e-57383db83e43,2.9666,3.3935,0.0633,3.7934,5.0,2.204,3.3091,1.5437,3.2725,5.0,5.0,7.4,-0.7626
31e07b65-fddd-5565-949b-97ce830b7746,0.8251,1.1307,-0.1232,1.2016,8.0,0.7665,1.246,-0.745,1.0677,8.0,8.0,2.125,-0.0587
325724c3-187b-5687-a956-f4850789214b,1.5129,1.7912,-0.1614,2.0599,4.0,1.4553,1.5966,0.6905,1.6623,4.0,4.0,7.45,-0.0576
